IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.126.53,80,80,false,HKG,Asia Pacific,Hong Kong,16,40.57
8.217.91.121,8880,8880,false,HKG,Asia Pacific,Hong Kong,19,38.85
8.217.145.40,2086,2086,false,HKG,Asia Pacific,Hong Kong,23,38.80
8.218.243.95,2087,2087,true,HKG,Asia Pacific,Hong Kong,16,38.68
8.210.89.245,2087,2087,true,HKG,Asia Pacific,Hong Kong,16,37.83
8.218.126.53,2082,2082,false,HKG,Asia Pacific,Hong Kong,14,37.16
8.218.126.53,2095,2095,false,HKG,Asia Pacific,Hong Kong,22,36.86
8.218.18.235,8880,8880,false,HKG,Asia Pacific,Hong Kong,19,36.55
8.218.18.235,2082,2082,false,HKG,Asia Pacific,Hong Kong,21,34.16
8.218.243.95,2053,2053,true,HKG,Asia Pacific,Hong Kong,21,34.15
103.48.169.9,38835,443,true,HKG,Asia Pacific,Hong Kong,39,33.97
156.251.176.109,32175,443,true,HKG,Asia Pacific,Hong Kong,52,32.99
8.218.188.129,2082,2082,false,HKG,Asia Pacific,Hong Kong,16,29.52
8.218.174.118,80,80,false,HKG,Asia Pacific,Hong Kong,18,28.48
47.76.189.102,8443,8443,true,HKG,Asia Pacific,Hong Kong,25,28.47
47.242.174.27,2087,2087,true,HKG,Asia Pacific,Hong Kong,21,27.92
47.76.225.255,80,80,false,HKG,Asia Pacific,Hong Kong,19,27.45
47.76.189.102,2087,2087,true,HKG,Asia Pacific,Hong Kong,21,27.28
8.217.145.40,2082,2082,false,HKG,Asia Pacific,Hong Kong,19,27.00
47.76.225.255,2096,2096,true,HKG,Asia Pacific,Hong Kong,20,26.87
8.217.91.121,2095,2095,false,HKG,Asia Pacific,Hong Kong,16,24.48
8.217.145.40,2052,2052,false,HKG,Asia Pacific,Hong Kong,20,22.91
47.76.225.255,8443,8443,true,HKG,Asia Pacific,Hong Kong,22,22.49
8.218.188.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,15,22.36
8.218.18.235,2086,2086,false,HKG,Asia Pacific,Hong Kong,20,18.43
8.217.91.121,2052,2052,false,HKG,Asia Pacific,Hong Kong,18,17.02
47.76.159.146,2086,2086,false,HKG,Asia Pacific,Hong Kong,25,16.07
